#number     PassengerId  Survived  gender  ticket_class
0            892         0       1             2
1            893         1       0             3
2            894         0       1             3
3            895         0       0             3
4            896         1       0             3
5            897         0       0             3
6            898         1       0             2
7            899         0       0             2
8            900         1       1             2
9            901         0       1             2
10           902         0       1             2
11           903         0       0             3
12           904         1       0             2
13           905         0       1             2
14           906         1       0             3
15           907         1       0             3
16           908         0       0             3
17           909         0       0             2
18           910         1       0             1
19           911         1       1             2
20           912         0       0             2
21           913         0       0             2
22           914         1       0             3
23           915         0       0             3
24           916         1       1             2
25           917         0       0             1
26           918         1       1             3
27           919         0       0             3
28           920         0       1             3
29           921         0       0             3
30           922         0       0             1
31           923         0       1             3
32           924         1       0             3
33           925         1       0             2
34           926         0       1             3
35           927         0       1             2
36           928         1       0             2
37           929         1       1             3
38           930         0       0             3
39           931         0       1             2
40           932         0       1             2
41           933         0       1             3
42           934         0       1             3
43           935         1       1             2
44           936         1       0             2
45           937         0       0             2
46           938         0       0             1
47           939         0       0             3
48           940         1       1             3
49           941         1       1             2
50           942         0       1             3
51           943         0       1             3
52           944         1       0             3
53           945         1       0             3
54           946         0       1             3
55           947         0       1             2
56           948         0       0             3
57           949         0       1             3
58           950         0       1             3
59           951         1       0             2
60           952         0       0             2
61           953         0       0             3
62           954         0       1             2
63           955         1       0             3
64           956         0       0             2
65           957         1       1             2
66           958         1       0             3
67           959         0       0             2
68           960         0       1             2
69           961         1       1             3
70           962         1       1             3
71           963         0       0             3
72           964         1       0             1
73           965         0       0             2
74           966         1       0             3
75           967         0       1             2
76           968         0       1             1
77           969         1       0             2
78           970         0       1             2
79           971         1       0             3
80           972         0       1             1
81           973         0       1             2
82           974         0       1             2
83           975         0       0             3
84           976         0       0             3
85           977         0       0             2
86           978         1       0             3
87           979         1       0             2
88           980         1       1             2
89           981         0       0             2
90           982         1       0             2
91           983         0       0             1
92           984         1       0             3
93           985         0       0             3
94           986         0       0             3
95           987         0       1             3
96           988         1       1             2
97           989         0       1             3
98           990         1       1             1
99           991         0       1             2
100          992         1       0             1
101          993         0       0             2
102          994         0       0             3
103          995         0       1             1
104          996         1       0             2
105          997         0       1             3
106          998         0       1             3
107          999         0       0             2
108         1000         0       0             3
109         1001         0       1             3
110         1002         0       1             3
111         1003         1       0             2
112         1004         1       0             3
113         1005         1       1             3
114         1006         1       0             3
115         1007         0       0             1
116         1008         0       0             2
117         1009         1       0             3
118         1010         0       1             3
119         1011         1       0             3
120         1012         1       1             3
121         1013         0       1             2
122         1014         1       1             3
123         1015         0       1             3
124         1016         0       0             2
125         1017         1       1             2
126         1018         0       0             3
127         1019         1       0             1
128         1020         0       0             2
129         1021         0       1             3
130         1022         0       0             3
131         1023         0       0             2
132         1024         1       0             3
133         1025         0       0             3
134         1026         0       0             1
135         1027         0       0             3
136         1028         0       1             1
137         1029         0       1             2
138         1030         1       0             3
139         1031         0       1             2
140         1032         1       1             3
141         1033         1       0             2
142         1034         0       0             2
143         1035         0       1             3
144         1036         0       0             3
145         1037         0       0             3
146         1038         0       1             3
147         1039         0       0             3
148         1040         0       1             2
149         1041         0       0             2
150         1042         1       1             3
151         1043         0       0             2
152         1044         0       0             1
153         1045         1       0             3
154         1046         0       0             3
155         1047         0       0             3
156         1048         1       1             3
157         1049         1       1             1
158         1050         0       0             3
159         1051         1       1             3
160         1052         1       1             3
161         1053         0       1             2
162         1054         1       0             3
163         1055         0       0             2
164         1056         0       1             2
165         1057         1       1             3
166         1058         0       1             3
167         1059         0       0             2
168         1060         1       0             3
169         1061         1       0             2
170         1062         0       1             3
171         1063         0       1             3
172         1064         0       0             2
173         1065         0       0             3
174         1066         0       1             1
175         1067         1       0             3
176         1068         1       0             3
177         1069         0       1             3
178         1070         1       1             3
179         1071         1       0             3
180         1072         0       1             1
181         1073         0       0             1
182         1074         1       1             3
183         1075         0       0             1
184         1076         1       0             3
185         1077         0       1             3
186         1078         1       1             3
187         1079         0       1             3
188         1080         1       1             1
189         1081         0       1             3
190         1082         0       0             1
191         1083         0       1             2
192         1084         0       0             3
193         1085         0       1             1
194         1086         0       1             3
195         1087         0       0             2
196         1088         0       0             2
197         1089         1       1             3
198         1090         0       0             2
199         1091         1       1             2
200         1092         1       1             3
201         1093         0       1             1
202         1094         0       0             2
203         1095         1       1             2
204         1096         0       1             1
205         1097         0       0             3
206         1098         1       0             2
207         1099         0       1             2
208         1100         1       1             2
209         1101         0       0             2
210         1102         0       1             1
211         1103         0       0             3
212         1104         0       0             2
213         1105         1       0             2
214         1106         1       1             3
215         1107         0       0             1
216         1108         1       0             2
217         1109         0       0             3
218         1110         1       0             3
219         1111         0       1             2
220         1112         1       0             2
221         1113         0       0             3
222         1114         1       0             3
223         1115         0       1             2
224         1116         1       0             2
225         1117         1       0             3
226         1118         0       0             2
227         1119         1       1             2
228         1120         0       0             3
229         1121         0       0             2
230         1122         0       1             2
231         1123         1       0             2
232         1124         0       0             2
233         1125         0       0             3
234         1126         0       1             1
235         1127         0       1             3
236         1128         0       0             3
237         1129         0       1             3
238         1130         1       1             2
239         1131         1       1             2
240         1132         1       1             2
241         1133         1       1             3
242         1134         0       0             3
243         1135         0       0             3
244         1136         0       0             1
245         1137         0       0             1
246         1138         1       0             3
247         1139         0       0             3
248         1140         1       1             3
249         1141         1       0             2
250         1142         1       0             3
251         1143         0       0             2
252         1144         0       1             2
253         1145         0       0             2
254         1146         0       0             3
255         1147         0       1             2
256         1148         0       1             3
257         1149         0       0             3
258         1150         1       0             3
259         1151         0       0             2
260         1152         0       0             3
261         1153         0       1             3
262         1154         1       0             3
263         1155         1       0             3
264         1156         0       0             3
265         1157         0       0             2
266         1158         0       0             3
267         1159         0       1             3
268         1160         1       1             2
269         1161         0       0             3
270         1162         0       1             3
271         1163         0       0             2
272         1164         1       1             3
273         1165         1       1             2
274         1166         0       0             3
275         1167         1       0             2
276         1168         0       0             2
277         1169         0       0             3
278         1170         0       1             2
279         1171         0       1             2
280         1172         1       1             2
281         1173         0       1             2
282         1174         1       0             3
283         1175         1       1             2
284         1176         1       0             3
285         1177         0       0             3
286         1178         0       0             3
287         1179         0       0             2
288         1180         0       0             2
289         1181         0       1             1
290         1182         0       1             2
291         1183         1       0             2
292         1184         0       0             2
293         1185         0       0             2
294         1186         0       1             2
295         1187         0       0             2
296         1188         1       1             3
297         1189         0       1             3
298         1190         0       0             3
299         1191         0       0             2
300         1192         0       0             2
301         1193         0       0             1
302         1194         0       0             2
303         1195         0       1             3
304         1196         1       0             3
305         1197         1       0             2
306         1198         0       1             1
307         1199         0       0             2
308         1200         0       1             2
309         1201         1       0             2
310         1202         0       1             2
311         1203         0       0             1
312         1204         0       1             3
313         1205         1       1             3
314         1206         1       0             1
315         1207         1       0             2
316         1208         0       0             1
317         1209         0       0             3
318         1210         0       0             3
319         1211         0       0             2
320         1212         0       0             3
321         1213         0       1             3
322         1214         0       1             3
323         1215         0       0             3
324         1216         1       1             3
325         1217         0       1             3
326         1218         1       0             3
327         1219         0       1             3
328         1220         0       0             1
329         1221         0       0             2
330         1222         1       0             1
331         1223         0       0             2
332         1224         0       1             3
333         1225         1       1             3
334         1226         0       0             3
335         1227         0       1             3
336         1228         0       1             2
337         1229         0       0             2
338         1230         0       1             2
339         1231         0       1             2
340         1232         0       0             3
341         1233         0       0             2
342         1234         0       1             3
343         1235         1       1             3
344         1236         0       1             2
345         1237         1       0             3
346         1238         0       1             3
347         1239         1       0             3
348         1240         0       0             3
349         1241         1       0             3
350         1242         1       0             3
351         1243         0       0             3
352         1244         0       0             2
353         1245         0       0             2
354         1246         1       0             3
355         1247         0       1             3
356         1248         1       1             2
357         1249         0       1             2
358         1250         0       0             2
359         1251         1       0             3
360         1252         0       1             3
361         1253         1       1             3
362         1254         1       0             2
363         1255         0       0             3
364         1256         1       0             3
365         1257         1       1             3
366         1258         0       1             3
367         1259         1       1             3
368         1260         1       1             3
369         1261         0       0             3
370         1262         0       1             3
371         1263         1       1             2
372         1264         0       1             3
373         1265         0       0             2
374         1266         1       0             3
375         1267         1       1             3
376         1268         1       0             2
377         1269         0       0             2
378         1270         0       1             3
379         1271         0       0             3
380         1272         0       0             3
381         1273         0       0             2
382         1274         1       0             2
383         1275         1       0             2
384         1276         0       0             3
385         1277         1       0             3
386         1278         0       0             3
387         1279         0       0             3
388         1280         0       1             3
389         1281         0       0             2
390         1282         0       0             1
391         1283         1       0             2
392         1284         0       1             3
393         1285         0       0             1
394         1286         0       0             2
395         1287         1       0             2
396         1288         0       1             3
397         1289         1       1             3
398         1290         0       0             3
399         1291         0       1             3
